alpha,seed,v_orbit,tau_var,eta_var
4.1,3,0.0,0.0,0.006172839506172836
4.1,4,0.09016362306003868,0.37333333333333335,3.41590109739369
4.1,5,0.0,0.0,0.0
4.1,6,0.0,0.0,0.0
4.1,8,0.0,0.0,0.0
4.1,7,0.0,0.0,1.9721522630525295e-31
4.1,9,0.0,0.0,0.0
4.1,10,0.0,0.0,0.0
4.1,11,0.0,0.0,0.0
4.1,12,0.0,0.0,4.930380657631324e-32
4.1,13,0.0,0.0,0.0
4.1,15,0.0,0.0,0.0
4.1,14,0.0,0.0,0.0
4.1,16,0.0,0.0,0.0
4.1,18,0.0,0.0,0.0
4.1,17,0.04803616520395154,0.7875,0.06083782578875173
4.1,19,0.0,0.0,0.0
4.1,20,0.00029015728459204755,0.13888888888888887,0.16508487654320977
4.1,22,0.0,0.0,0.00617283950617284
4.1,21,0.0,0.0,0.0
4.1,23,0.0,0.0,0.0
4.1,24,0.0,0.0,0.0
4.1,25,0.0,0.0,0.0
4.1,26,0.0,0.0,0.0
4.1,27,0.0,0.0,0.0
4.1,28,0.0,0.0,0.0
4.1,29,0.0,0.0,0.0
4.1,30,0.0,0.0,0.0
4.1,31,0.0,0.0,0.0
4.1,32,0.0,0.0,0.0
4.1,34,0.0,0.0,0.006172839506172838
4.1,33,0.0,0.0,0.0
4.1,35,0.0,0.0,0.0
4.1,36,0.0,0.0,0.0
4.1,38,0.0,0.0,0.00617283950617284
4.1,37,0.0,0.0,0.0
4.1,39,0.0,0.0,0.0
4.1,40,0.0,0.0,0.0
4.1,41,0.0,0.0,0.00617283950617284
4.1,42,0.21897733871607333,0.7875,0.2991233196159122
4.1,44,0.0,0.0,0.0
4.1,43,0.0,0.0,0.0
4.1,45,0.0,0.0,0.0
4.1,46,0.0,0.0,0.006172839506172844
4.1,47,0.0,0.0,0.0
4.1,48,0.0048367594460704015,0.7875,0.006892283950617285
4.1,49,0.0,0.0,0.0
4.15,1,0.0,0.0,0.0
