mu,seed,gamma,v_orbit,tau_var,eta_var
0.35000000000000003,3,0.38116286021762497,18.949004629629634,0.24888888888888897,18.700115740740745
0.35000000000000003,2,0.3622930219263768,3.589351851851851,0.31222222222222223,3.277129629629629
0.35000000000000003,4,0.36945533454496154,5.477781925154322,0.3763888888888889,5.101393036265433
0.35000000000000003,5,0.39255358885652764,13.724548128858023,0.44555555555555565,13.278992573302467
0.35000000000000003,6,0.342299939928688,13.445335165895065,0.3474999999999999,13.097835165895065
0.35000000000000003,7,0.36151189582700405,7.450231481481482,0.5275,6.922731481481482
0.35000000000000003,8,0.3699996151237509,6.921370061728396,0.4830555555555555,6.438314506172841
0.35000000000000003,9,0.33904115451218114,23.088051678240742,0.9955555555555559,22.092496122685187
0.35000000000000003,10,0.32676253064208044,34.32238233024692,0.5655555555555556,33.75682677469136
0.35000000000000003,13,0.45555755229643435,7.463615046296295,0.5599999999999999,6.903615046296295
0.35000000000000003,12,0.3741570631187748,6.337847222222221,0.3475,5.990347222222221
0.35000000000000003,11,0.37831637779274385,9.366758950617283,0.8697222222222222,8.497036728395061
0.35000000000000003,14,0.3772742055533986,19.57295524691358,0.19555555555555557,19.377399691358026
0.35000000000000003,15,0.34385788211974916,10.211425752314815,0.7808333333333336,9.430592418981481
0.35000000000000003,16,0.39495618748185746,14.652981770833332,0.46222222222222215,14.19075954861111
0.35000000000000003,17,0.39938860385155517,30.878136091820984,0.378888888888889,30.499247202932096
0.35000000000000003,18,0.37166644056218767,12.578314332561728,0.5141666666666668,12.064147665895062
0.35000000000000003,19,0.3757073260606868,14.685761554783948,0.7497222222222222,13.936039332561727
0.35000000000000003,20,0.3468933618469675,20.781122202932096,0.35555555555555557,20.42556664737654
0.35000000000000003,21,0.40902737384066534,11.235964506172838,0.3697222222222221,10.866242283950616
0.35000000000000003,22,0.3733606036627801,12.312768441358024,0.5141666666666668,11.798601774691358
0.35000000000000003,23,0.3624884172417439,14.90374442515432,0.648888888888889,14.254855536265431
0.35000000000000003,24,0.3538304461857509,6.383156462191359,0.5875,5.795656462191358
0.35000000000000003,26,0.38332104210634094,15.068996913580248,0.36972222222222223,14.699274691358026
0.35000000000000003,25,0.3772978933254269,7.172098765432101,0.4,6.7720987654321005
0.35000000000000003,27,0.38974524607779165,16.0867650462963,0.33888888888888885,15.74787615740741
0.35000000000000003,28,0.4226503811949076,42.49149691358025,0.5163888888888888,41.97510802469136
0.35000000000000003,29,0.38841275300218503,11.856348070987652,0.6497222222222222,11.20662584876543
0.4,0,0.38720258753131054,5.796875,0.5599999999999999,5.236875
0.4,1,0.4122748713763027,11.241155478395061,0.28305555555555556,10.958099922839505
0.4,3,0.4272773626522811,3.1810860339506166,0.40305555555555556,2.778030478395061
0.4,2,0.39569097719156243,9.63109375,0.20972222222222223,9.421371527777778
0.4,4,0.40024154738440676,11.21581155478395,0.40555555555555556,10.810255999228396
0.4,5,0.43423253380494525,13.904413580246914,0.5655555555555556,13.338858024691358
0.4,6,0.4021667535099248,12.447962480709876,0.37888888888888883,12.069073591820986
0.4,7,0.4089573958209145,16.47976417824074,0.5163888888888889,15.96337528935185
0.4,8,0.4331817499223133,3.254178155006859,1.1608333333333336,2.0933448216735253
0.4,9,0.38960712883018916,20.8990737654321,0.728888888888889,20.17018487654321
0.4,10,0.38893036521728885,14.689109182098768,0.5141666666666668,14.174942515432102
0.4,11,0.43108427079794065,10.912018441358024,0.9122222222222222,9.999796219135801
0.4,12,0.4211402873603668,7.78636412037037,0.8322222222222223,6.954141898148148
0.4,13,0.49002963917470177,3.6053915895061723,0.2488888888888889,3.3565027006172836
0.4,14,0.4166794150844816,12.305738811728396,0.2697222222222223,12.036016589506174
0.4,15,0.40472902244138675,10.267373765432097,0.7733333333333334,9.494040432098764
0.4,16,0.42575650041323354,30.060666956018522,0.5955555555555556,29.465111400462966
0.4,17,0.44843555138952274,33.362984182098764,0.378888888888889,32.984095293209876
0.4,18,0.4234517464210691,13.090798128858026,0.3555555555555556,12.73524257330247
0.4,19,0.4276945027689265,22.943562326388893,0.9030555555555556,22.040506770833336
0.4,20,0.37841175377412095,20.58695987654321,0.35555555555555557,20.231404320987657
0.4,21,0.4475876777495639,12.653472222222222,0.3697222222222221,12.28375
0.4,22,0.41647258701338863,12.28620507330247,0.3822222222222223,11.903982851080249
0.4,23,0.40587560498101655,10.212550848765432,0.6497222222222223,9.56282862654321
0.4,24,0.3926055077700284,13.459193209876545,0.8322222222222223,12.626970987654323
0.4,26,0.40322133957819106,17.138117283950617,0.36972222222222223,16.768395061728395
0.4,25,0.4516346536795127,23.416643441358026,0.7030555555555554,22.713587885802472
0.4,27,0.4275241859107012,17.23436728395062,0.33888888888888885,16.89547839506173
0.4,28,0.4456683917901624,38.63109413580247,0.7733333333333334,37.85776080246914
0.4,29,0.4258709732763805,29.00851803626542,0.44972222222222213,28.5587958140432
0.45,0,0.4182239620198037,8.60972800925926,0.5599999999999999,8.04972800925926
0.45,1,0.4638348136298759,5.421168499228395,0.15999999999999998,5.261168499228395
0.45,3,0.467647656830129,13.172788869598763,0.32888888888888884,12.843899980709875
0.45,2,0.4448323757377113,5.696476774691358,0.9122222222222222,4.784254552469136
0.45,4,0.4266320664252232,12.442577758487653,0.40555555555555556,12.037022202932098
0.45,5,0.46864015199781106,15.872876157407406,0.40555555555555556,15.467320601851851
0.45,6,0.44862789681750115,14.628633777006174,0.37888888888888883,14.249744888117284
0.45,7,0.4573496211877299,14.125154320987653,0.5163888888888889,13.608765432098764
0.45,9,0.4199082489487924,24.5166200617284,0.7833333333333333,23.733286728395065
0.45,8,0.465686687417881,20.64613858024692,0.7833333333333333,19.862805246913585
0.45,10,0.4346478929827144,7.514180478395062,0.35555555555555557,7.158624922839507
0.45,11,0.5020166519155679,27.232093441358025,0.7141666666666667,26.517926774691357
0.45,12,0.45375513821084346,6.3506595486111115,0.8322222222222223,5.518437326388889
0.45,13,0.5151381082745901,6.222667515432099,0.43638888888888894,5.7862786265432105
